name,gender,language
Azariel,M,es
Azas,M,es
Azize,M,es
Azrael,M,es
Azucena,F,es
Azul,F,es
Babet,F,es
Babette,F,es
Babilas,M,es
Bachar,F,es
Baco,M,es
Badda,F,es
Bademo,M,es
Bader,M,es
Badiha,F,es
Badir,M,es
Badra,F,es
Bahari,M,es
Bahia,F,es
Bahiana,F,es
Bahiano,M,es
Bahich,M,es
Bailey,M,es
Bainbridge,M,es
Baird,M,es
Baka,F,es
Balarama,M,es
Balbiana,F,es
Balbina,F,es
Balbino,M,es
Balbo,M,es
Balder,M,es
Baldomero,M,es
Balduino,M,es
Baldur,M,es
Baldwin,M,es
Bali,M,es
Balint,M,es
Baliwani,F,es
Ballard,A,es
Baltar,M,es
Baltasar,M,es
Baltazar,M,es
Balthazar,M,es
Bambu,M,es
Banbury,M,es
Bancroft,M,es
Baptiste,M,es
Baraquisio,M,es
Barbaciano,M,es
Barbara,F,es
Barbato,M,es
Barbea,F,es
Barbelo,M,es
Barclay,M,es
Barcli,F,es
Barden,M,es
Bardomiano,M,es
Baris,M,es
Barkev,M,es
Barlaan,M,es
Barnabas,M,es
Barnard,M,es
Barnett,M,es
Barney,M,es
Baroncio,M,es
Barrett,M,es
Barry,M,es
Barsabas,M,es
Barsanufio,M,es
Barsen,M,es
Barsimeo,M,es
Bart,M,es
Bartolo,M,es
Bartolome,M,es
Barton,M,es
Baruc,M,es
Baruch,M,es
Baruir,M,es
Baruj,M,es
Barula,M,es
Basa,F,es
Basha,F,es
Basia,F,es
Basiano,M,es
Basil,M,es
Basila,F,es
Basileo,M,es
Basiliano,M,es
Basilides,M,es
Basilio,M,es
Basilisa,F,es
Basilisco,M,es
Basimah,F,es
Basolo,M,es
Bassa,F,es
Bassi,M,es
Basso,M,es
Bast,M,es
Bastian,M,es
Bastiana,F,es
Bat,M,es
Batana,F,es
Batia,F,es
Batilde,F,es
Batista,M,es
Batsheva,F,es
Battista,M,es
Batul,F,es
Batya,F,es
Baudelio,M,es
Baudilio,M,es
Bautista,M,es
Bavon,M,es
Baxter,M,es
Bay,A,es
Bayaceto,M,es
Bayan,M,es
Bayard,M,es
Bayo,F,es
Bayulo,M,es
Beacan,M,es
Beagan,M,es
Beaman,M,es
Beano,M,es
Beata,F,es
Beato,M,es
Beatrice,F,es
Beatrix,F,es
Beatriz,F,es
Beatriz del Valle,F,es
Beattie,F,es
Beau,M,es
Beaumont,M,es
Beauregard,M,es
Becca,F,es
Beck,M,es
Beda,M,es
Bedelia,F,es
Beder,M,es
Begga,F,es
Begoña,F,es
Begonia,F,es
Beism,M,es
Bejle,F,es
Bel,F,es
Bela,A,es
Belana,F,es
Belara,F,es
Belarmino,M,es
Beldon,M,es
Belen,A,es
Belena,F,es
Belerofonte,M,es
Belgrano,M,es
Belia,F,es
Belinda,F,es
Belino,M,es
Belisa,F,es
Belisario,M,es
Belkis,F,es
Belkyss,F,es
Bell,A,es
Bella,F,es
Bellanca,F,es
Belle,F,es
Belona,F,es
Belsy,F,es
Beltran,M,es
Bem,M,es
Ben,M,es
Ben Hur,A,es
Bena,F,es
Benedetta,F,es
Benedict,M,es
Benedicta,M,es
Benedicto,M,es
Benen,M,es
Benet,M,es
Benett,M,es
Benicio,M,es
Benigno,M,es
Benilda,F,es
Benilde,F,es
Benildes,F,es
Benita,F,es
Benito,M,es
Benjamin,M,es
Benjasmin,F,es
Bennett,M,es
Benny,M,es
Benoit,M,es
Benon,M,es
Benson,M,es
Bent,M,es
Bente,F,es
Bentley,M,es
Beraja,F,es
Beranger,M,es
Berardo,M,es
Bercario,M,es
Berend,M,es
Berenger,M,es
Berenice,F,es
Bergo,M,es
Bergren,M,es
Berit,F,es
Berjuhi,A,es
Berk,M,es
Berkeley,M,es
Berko,M,es
Bern,M,es
Berna,F,es
Bernabe,M,es
Bernabela,F,es
Bernadette,F,es
Bernadine,F,es
Bernard,M,es
Bernarda,F,es
Bernardino,M,es
Bernardita,F,es
Bernardo,M,es
Berne,M,es
Berniago,M,es
